City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,39.04,65,40,19.57,SJ,1718294516
1,yellowknife,62.456,-114.3525,62.42,58,40,8.05,CA,1718294474
2,luwingu,-10.2621,29.9271,63.77,49,14,4.47,ZM,1718294518
3,pisco,-13.7,-76.2167,64.45,82,100,2.3,PE,1718294518
4,banjar,-8.19,114.9675,76.64,91,28,3.89,ID,1718294518
5,bilibino,68.0546,166.4372,52.21,56,4,1.72,RU,1718294518
6,keflavik,64.0049,-22.5624,58.91,93,100,28.77,IS,1718294326
7,hermanus,-34.4187,19.2345,59.81,80,17,2.19,ZA,1718294316
8,adamstown,-25.066,-130.1015,67.75,63,3,9.75,PN,1718294518
9,ribeira grande,38.5167,-28.7,75.6,78,75,10.36,PT,1718294518
10,grytviken,-54.2811,-36.5092,31.06,98,100,14.14,GS,1718294519
11,port-aux-francais,-49.35,70.2167,36.5,71,86,19.89,TF,1718294519
12,badger,64.8,-147.5333,54.99,86,100,1.99,US,1718294521
13,avarua,-21.2078,-159.775,71.65,88,75,3.44,CK,1718294521
14,kailua-kona,19.6406,-155.9956,75.16,91,75,5.75,US,1718294408
15,taroa,8.7058,171.2275,82.85,76,100,21.32,MH,1718294522
16,embarcacion,-23.209,-64.096,83.21,60,14,3.27,AR,1718294522
17,saipan,15.1355,145.701,83.1,78,40,16.11,MP,1718294335
18,san luis de la loma,17.2706,-100.8939,85.19,66,94,4.41,MX,1718294522
19,linxia chengguanzhen,35.6003,103.2064,52.74,74,54,4.65,CN,1718294523
20,zeya,53.75,127.2667,56.48,56,100,3.0,RU,1718294523
21,usinsk,65.9939,57.5281,62.08,76,99,8.99,RU,1718294523
22,tazacorte,28.629,-17.9293,74.16,68,75,16.11,ES,1718294523
23,colonia,50.9333,6.95,70.97,38,0,5.75,DE,1718294411
24,ketchikan,55.3422,-131.6461,52.34,68,99,1.19,US,1718294523
25,kodiak,57.79,-152.4072,45.77,89,95,5.57,US,1718294524
26,tshikapa,-6.4167,20.8,89.31,34,8,2.26,CD,1718294525
27,bredasdorp,-34.5322,20.0403,55.4,89,17,5.48,ZA,1718294525
28,waitangi,-43.9535,-176.5597,48.81,72,78,14.92,NZ,1718294525
29,ust-nera,64.5667,143.2,51.12,85,100,3.71,RU,1718294525
30,papatowai,-46.5619,169.4708,44.31,89,100,2.73,NZ,1718294525
31,stanley,54.868,-1.6985,53.28,83,75,8.05,GB,1718294525
32,hawaiian paradise park,19.5933,-154.9731,70.03,97,12,4.52,US,1718294525
33,port mathurin,-19.6833,63.4167,75.09,77,95,27.13,MU,1718294497
34,kidal,18.4411,1.4078,109.35,10,55,6.96,ML,1718294526
35,kargasok,59.0556,80.8572,70.97,58,20,4.0,RU,1718294526
36,whitehorse,60.7161,-135.0538,47.8,54,75,3.44,CA,1718294469
37,ust'-kulom,61.6864,53.6902,64.58,91,36,8.75,RU,1718294526
38,lompoc,34.6391,-120.4579,60.94,88,100,1.01,US,1718294471
39,albany,42.6001,-73.9662,80.8,59,95,1.99,US,1718294304
40,tirana,41.3275,19.8189,83.28,48,40,10.36,AL,1718294377
41,mil'kovo,55.6078,37.7956,66.34,95,98,11.23,RU,1718294526
42,minas de marcona,-15.2119,-75.1103,63.99,54,18,7.09,PE,1718294453
43,beacon square,28.2086,-82.7554,92.26,67,1,5.01,US,1718294526
44,nuuk,64.1835,-51.7216,41.88,70,22,10.0,GL,1718294526
45,huilong,31.8111,121.655,72.45,91,100,7.94,CN,1718294527
46,gevas,38.2968,43.1083,67.35,46,6,1.66,TR,1718294527
47,nieuw amsterdam,5.8833,-55.0833,83.07,77,44,6.91,SR,1718294527
48,tromso,69.6496,18.957,53.62,71,0,14.97,NO,1718294277
49,port elizabeth,-33.918,25.5701,61.32,83,0,4.61,ZA,1718294486
50,qarqaraly,49.4058,75.4742,57.83,68,94,5.06,KZ,1718294528
51,chul'man,56.8479,124.9104,50.27,93,97,3.0,RU,1718294425
52,zakynthos,37.7914,20.8953,88.92,40,0,4.61,GR,1718294528
53,formosa,-26.1775,-58.1781,89.96,37,81,5.01,AR,1718294440
54,bethel,41.3712,-73.414,84.34,55,43,1.99,US,1718294528
55,blackmans bay,-43.0167,147.3167,44.73,92,99,1.01,AU,1718294528
56,margaret river,-33.95,115.0667,53.78,76,51,2.1,AU,1718294528
57,wailua homesteads,22.0669,-159.378,69.85,79,6,9.42,US,1718294528
58,tqvarch'eli,42.8404,41.6801,72.0,84,72,1.45,GE,1718294528
59,san patricio,28.017,-97.5169,92.91,55,0,1.7,US,1718294528
60,iqaluit,63.7506,-68.5145,37.13,81,100,9.22,CA,1718294492
61,puerto ayora,-0.7393,-90.3518,78.76,81,44,5.01,EC,1718294529
62,weno,7.4515,151.8468,81.86,81,100,9.91,FM,1718294529
63,tolanaro,-25.0319,46.9987,69.87,100,75,4.61,MG,1718294529
